2025-03-24 17:33:40 [main] INFO  HospitalProject.testCasesTDD.ABCDHospitalBaseOldTest - Performing an action.
2025-03-24 17:33:40 [main] ERROR HospitalProject.testCasesTDD.ABCDHospitalBaseOldTest - An error occurred.
2025-03-24 17:40:45 [main] INFO  hooks.hooks - Before Hook triggered
2025-03-24 17:40:45 [main] INFO  hooks.hooks - ====================================================================================
2025-03-24 17:40:45 [main] INFO  hooks.hooks - *********************************Test Start*****************************************
2025-03-24 17:40:45 [main] INFO  hooks.hooks - Opening the Website!!!!
2025-03-24 17:40:45 [main] INFO  hooks.hooks - Webiste URL: http://localhost/ABCD%20Hospital/
2025-03-24 17:40:48 [main] INFO  HospitalProject.StepDefinitions.loginOP - The User is on the Login Page
2025-03-24 17:40:49 [main] INFO  HospitalProject.StepDefinitions.loginOP - The User has entered the credentials
2025-03-24 17:40:49 [main] INFO  HospitalProject.testClassesBDD.hospitalLandingPage - User Logged in Successfully
2025-03-24 17:40:49 [main] INFO  hooks.hooks - *********************************Test End*****************************************
2025-03-24 17:40:49 [main] INFO  hooks.hooks - Closing the WebDriver
